운행일자,상행하행구분코드,열차종별코드,운행구분코드,시발역코드,열차시발시각,종착역코드,열차종착시각,열차속성코드,주운행성코드,요일
2019-08-15,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-08-22,상,무궁화,부정기,연무대,09:10:00,춘천,15:28:00,건설,호남선,목요일
2019-08-22,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-08-29,상,무궁화,부정기,연무대,09:10:00,춘천,15:28:00,건설,호남선,목요일
2019-08-29,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-09-05,상,무궁화,부정기,연무대,09:10:00,춘천,15:28:00,건설,호남선,목요일
2019-09-05,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-09-10,상,무궁화,부정기,연무대,09:10:00,춘천,15:28:00,일반,호남선,화요일
2019-09-12,상,무궁화,부정기,연무대,09:10:00,춘천,14:49:00,건설,호남선,목요일
2019-09-12,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-09-19,상,무궁화,부정기,연무대,09:10:00,춘천,15:25:00,건설,호남선,목요일
2019-09-19,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-09-26,상,무궁화,부정기,연무대,09:10:00,춘천,15:28:00,건설,호남선,목요일
2019-09-26,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-10-03,상,무궁화,부정기,연무대,09:10:00,춘천,14:49:00,건설,호남선,목요일
2019-10-03,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-10-10,상,무궁화,부정기,연무대,09:10:00,춘천,15:28:00,건설,호남선,목요일
2019-10-10,하,무궁화,부정기,연무대,09:42:00,장성,11:13:00,건설,호남선,목요일
2019-10-17,상,무궁화,부정기,연무대,09:10:00,춘천,15:28:00,건설,호남선,목요일
2019-10-17,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-10-24,상,무궁화,부정기,연무대,09:10:00,춘천,15:28:00,건설,호남선,목요일
2019-10-24,하,무궁화,부정기,연무대,11:25:00,장성,12:46:00,건설,호남선,목요일
2019-10-31,상,무궁화,부정기,연무대,09:10:00,춘천,15:28:00,건설,호남선,목요일
2019-10-31,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-11-07,상,무궁화,부정기,연무대,09:10:00,춘천,15:28:00,건설,호남선,목요일
2019-11-07,하,무궁화,부정기,연무대,09:42:00,장성,11:13:00,건설,호남선,목요일
2019-11-14,상,무궁화,부정기,연무대,09:10:00,춘천,15:28:00,건설,호남선,목요일
2019-11-14,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-11-21,상,무궁화,부정기,연무대,09:10:00,춘천,15:28:00,건설,호남선,목요일
2019-11-21,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-11-28,상,무궁화,부정기,연무대,09:10:00,춘천,15:28:00,건설,호남선,목요일
2019-11-28,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-12-05,상,무궁화,부정기,연무대,09:10:00,춘천,15:28:00,건설,호남선,목요일
2019-12-05,하,무궁화,부정기,연무대,09:42:00,장성,11:13:00,건설,호남선,목요일
2019-12-12,상,무궁화,부정기,연무대,09:10:00,춘천,15:28:00,건설,호남선,목요일
2019-12-12,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-12-19,상,무궁화,부정기,연무대,09:10:00,춘천,15:28:00,건설,호남선,목요일
2019-12-19,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-12-26,상,무궁화,부정기,연무대,09:10:00,춘천,15:28:00,건설,호남선,목요일
2019-12-26,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-01-02,상,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-01-02,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-01-09,상,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-01-09,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-01-16,상,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-01-16,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-01-22,상,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,수요일
2020-01-23,하,무궁화,부정기,연무대,09:10:00,춘천,14:49:00,건설,호남선,목요일
2020-01-23,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-01-30,상,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-01-30,하,무궁화,부정기,연무대,09:42:00,장성,11:13:00,건설,호남선,목요일
2020-02-06,상,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-02-06,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-02-13,상,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-02-13,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-02-20,상,무궁화,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-02-20,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-02-27,상,무궁화,부정기,연무대,09:10:00,춘천,14:49:00,건설,호남선,목요일
2020-02-27,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
